"Cabecera","Curul","Distrito","Entidad","Nombre","Tipodeelección","Fecha","Titulo","Sentido","Circunscripción"
"Jesús María","A-009","1","Aguascalientes","Dip. J. Pilar Moreno Montoya","Mayoría Relativa",NA,NA,NA,NA
"Aguascalientes","H-248","2","Aguascalientes","Dip. María Teresa Jiménez Esquivel","Mayoría Relativa",NA,NA,NA,NA
"Aguascalientes","A-002","3","Aguascalientes","Dip. José Ángel González Serna","Mayoría Relativa",NA,NA,NA,NA
"Mexicali","B-038","1","Baja California","Dip. Benjamin Castillo Valdez","Mayoría Relativa",NA,NA,NA,NA
"Mexicali","C-068","2","Baja California","Dip. María Fernanda Schroeder Verdugo","Mayoría Relativa",NA,NA,NA,NA
"Ensenada","C-069","3","Baja California","Dip. Gilberto Antonio Hirata Chico","Mayoría Relativa",NA,NA,NA,NA
"Tijuana","C-067","4","Baja California","Dip. María Elia Cabañas Aparicio","Mayoría Relativa",NA,NA,NA,NA
"Tijuana","H-244","5","Baja California","Dip. Juan Manuel Gastélum Buenrostro","Mayoría Relativa",NA,NA,NA,NA
"Tijuana","H-267","6","Baja California","Dip. Jaime Chris López Alvarado","Mayoría Relativa",NA,NA,NA,NA
"Mexicali","I-303","7","Baja California","Dip. David Pérez Tejada Padilla","Mayoría Relativa",NA,NA,NA,NA
"Tijuana","B-039","8","Baja California","Dip. Mayra Karina Robles Aguirre","Mayoría Relativa",NA,NA,NA,NA
"Campeche","L-420","1","Campeche","Dip. Landy Margarita Berzunza Novelo","Mayoría Relativa",NA,NA,NA,NA
"Ciudad del Carmen","L-421","2","Campeche","Dip. Rocío Adriana Abreu Artiñano","Mayoría Relativa",NA,NA,NA,NA
"Piedras Negras","L-425","1","Coahuila","Dip. Irma Elizondo Ramírez (DECESO)","Mayoría Relativa",NA,NA,NA,NA
"San Pedro","L-424","2","Coahuila","Dip. José Luis Flores Méndez","Mayoría Relativa",NA,NA,NA,NA
"Monclova","G-203","3","Coahuila","Dip. Mario Alberto Dávila Delgado","Mayoría Relativa",NA,NA,NA,NA
"Saltillo","L-427","4","Coahuila","Dip. Fernando Donato De las Fuentes Hernández","Mayoría Relativa",NA,NA,NA,NA
"Torreón","L-423","5","Coahuila","Dip. Salomón Juan Marcos Issa","Mayoría Relativa",NA,NA,NA,NA
"Torreón","D-094","6","Coahuila","Dip. Marcelo de Jesús Torres Cofiño","Mayoría Relativa",NA,NA,NA,NA
"Saltillo","J-331","7","Coahuila","Dip. Esther Quintana Salinas","Mayoría Relativa",NA,NA,NA,NA
"Colima","K-378","1","Colima","Dip. Miguel Ángel Aguayo López","Mayoría Relativa",NA,NA,NA,NA
"Manzanillo","K-377","2","Colima","Dip. Francisco Alberto Zepeda González","Mayoría Relativa",NA,NA,NA,NA
"Palenque","J-342","1","Chiapas","Dip. Lourdes Adriana López Moreno","Mayoría Relativa",NA,NA,NA,NA
"Bochil","J-337","2","Chiapas","Dip. Pedro Gómez Gómez","Mayoría Relativa",NA,NA,NA,NA
"Ocosingo","K-387","3","Chiapas","Dip. Amílcar Augusto Villafuerte Trujillo","Mayoría Relativa",NA,NA,NA,NA
"Ocozocoautla de Espinosa","J-340","4","Chiapas","Dip. Harvey Gutiérrez Álvarez","Mayoría Relativa",NA,NA,NA,NA
"San Cristóbal de las Casas","J-338","5","Chiapas","Dip. Luis Gómez Gómez","Mayoría Relativa",NA,NA,NA,NA
"Tuxtla Gutiérrez","G-223","6","Chiapas","Dip. Williams Oswaldo Ochoa Gallegos","Mayoría Relativa",NA,NA,NA,NA
"Tonalá","K-381","7","Chiapas","Dip. Francisco Grajales Palacios","Mayoría Relativa",NA,NA,NA,NA
"Comitán de Domínguez","J-346","8","Chiapas","Dip. Oscar Eduardo Ramírez Aguilar","Mayoría Relativa",NA,NA,NA,NA
"Tuxtla Gutiérrez","H-261","9","Chiapas","Dip. María del Rosario de Fátima Pariente Gavito","Mayoría Relativa",NA,NA,NA,NA
"Villaflores","K-388","10","Chiapas","Dip. Héctor Narcia Alvarez","Mayoría Relativa",NA,NA,NA,NA
"Huixtla","K-382","11","Chiapas","Dip. Hugo Mauricio Pérez Anzueto","Mayoría Relativa",NA,NA,NA,NA
"Tapachula","J-336","12","Chiapas","Dip. Antonio De Jesús Díaz Athié","Mayoría Relativa",NA,NA,NA,NA
"Juárez","F-175","1","Chihuahua","Dip. Adriana Fuentes Téllez","Mayoría Relativa",NA,NA,NA,NA
"Ciudad Juárez","F-176","2","Chihuahua","Dip. José Ignacio Duarte Murillo","Mayoría Relativa",NA,NA,NA,NA
"Juárez","I-290","3","Chihuahua","Dip. Carlos Fernando Angulo Parra","Mayoría Relativa",NA,NA,NA,NA
"Juárez","G-215","4","Chihuahua","Dip. Luis Alfredo Murguía Lardizabal","Mayoría Relativa",NA,NA,NA,NA
"Delicias","F-177","5","Chihuahua","Dip. Abraham Montes Alvarado","Mayoría Relativa",NA,NA,NA,NA
"Chihuahua","G-218","6","Chihuahua","Dip. Minerva Castillo Rodríguez","Mayoría Relativa",NA,NA,NA,NA
"Cuauhtémoc","F-174","7","Chihuahua","Dip. Kamel Athie Flores","Mayoría Relativa",NA,NA,NA,NA
"Chihuahua","G-216","8","Chihuahua","Dip. Pedro Ignacio Domínguez Zepeda","Mayoría Relativa",NA,NA,NA,NA
"Hidalgo del Parral","G-217","9","Chihuahua","Dip. Diana Karina Velázquez Ramírez","Mayoría Relativa",NA,NA,NA,NA
"Gustavo A. Madero","P-504","1","Ciudad de México","Dip. Lizbeth Eugenia Rosas Montero","Mayoría Relativa",NA,NA,NA,NA
"Gustavo A. Madero","E-160","2","Ciudad de México","Dip. Manuel Rafael Huerta Ladrón de Guevara","Mayoría Relativa",NA,NA,NA,NA
"Azcapotzalco","F-196","3","Ciudad de México","Dip. Fernando Cuéllar Reyes","Mayoría Relativa",NA,NA,NA,NA
"Iztapalapa","G-231","4","Ciudad de México","Dip. Carlos Augusto Morales López","Mayoría Relativa",NA,NA,NA,NA
"Tlalpan","H-285","5","Ciudad de México","Dip. José Antonio Hurtado Gallegos","Mayoría Relativa",NA,NA,NA,NA
"Gustavo A. Madero","D-114","6","Ciudad de México","Dip. Jhonatan Jardines Fraire","Mayoría Relativa",NA,NA,NA,NA
"Gustavo A. Madero","C-075","7","Ciudad de México","Dip. Claudia Elena Águila Torres","Mayoría Relativa",NA,NA,NA,NA
"Cuauhtémoc","K-409","8","Ciudad de México","Dip. Alejandro Carbajal González","Mayoría Relativa",NA,NA,NA,NA
"Venustiano Carranza","H-274","9","Ciudad de México","Dip. Israel Moreno Rivera","Mayoría Relativa",NA,NA,NA,NA
"Miguel Hidalgo","L-458","10","Ciudad de México","Dip. Agustín Barrios Gómez Segués","Mayoría Relativa",NA,NA,NA,NA
"Venustiano Carranza","D-111","11","Ciudad de México","Dip. Luis Ángel Xariel Espinosa Cházaro","Mayoría Relativa",NA,NA,NA,NA
"Cuauhtémoc","K-413","12","Ciudad de México","Dip. José Luis Muñoz Soria","Mayoría Relativa",NA,NA,NA,NA
"Iztacalco","B-044","13","Ciudad de México","Dip. Roberto Carlos Reyes Gámiz","Mayoría Relativa",NA,NA,NA,NA
"Tlalpan","H-277","14","Ciudad de México","Dip. Martha Lucía Mícher Camarena","Mayoría Relativa",NA,NA,NA,NA
"Benito Juárez","J-334","15","Ciudad de México","Dip. Jorge Francisco Sotomayor Chávez","Mayoría Relativa",NA,NA,NA,NA
"Alvaro Obregón","I-317","16","Ciudad de México","Dip. Mario Miguel Carrillo Huerta","Mayoría Relativa",NA,NA,NA,NA
"Alvaro Obregón","E-146","17","Ciudad de México","Dip. Fernando Zárate Salgado","Mayoría Relativa",NA,NA,NA,NA
"Iztapalapa","E-149","18","Ciudad de México","Dip. Karen Quiroga Anguiano","Mayoría Relativa",NA,NA,NA,NA
"Iztapalapa","E-153","19","Ciudad de México","Dip. Aleida Alavez Ruiz","Mayoría Relativa",NA,NA,NA,NA
"Iztapalapa","A-023","20","Ciudad de México","Dip. José Alberto Benavides Castañeda","Mayoría Relativa",NA,NA,NA,NA
"Xochimilco","J-371","21","Ciudad de México","Dip. Alejandro Sánchez Camacho","Mayoría Relativa",NA,NA,NA,NA
"Iztapalapa","G-234","22","Ciudad de México","Dip. Purificación Carpinteyro Calderón","Mayoría Relativa",NA,NA,NA,NA
"Coyoacán","F-194","23","Ciudad de México","Dip. José Valentín Maldonado Salgado","Mayoría Relativa",NA,NA,NA,NA
"Coyoacán","M-500","24","Ciudad de México","Dip. Gerardo Villanueva Albarrán","Mayoría Relativa",NA,NA,NA,NA
"Iztapalapa","H-279","25","Ciudad de México","Dip. María de Lourdes Amaya Reyes","Mayoría Relativa",NA,NA,NA,NA
"Magdalena Contreras","E-157","26","Ciudad de México","Dip. José Arturo López Candido","Mayoría Relativa",NA,NA,NA,NA
"Tláhuac","K-412","27","Ciudad de México","Dip. Guadalupe Socorro Flores Salazar","Mayoría Relativa",NA,NA,NA,NA
"Victoria de Durango","A-015","1","Durango","Dip. Sonia Catalina Mercado Gallegos","Mayoría Relativa",NA,NA,NA,NA
"Gómez Palacio","A-016","2","Durango","Dip. Alma Marina Vitela Rodríguez","Mayoría Relativa",NA,NA,NA,NA
"Guadalupe Victoria","B-041","3","Durango","Dip. José Rubén Escajeda Jiménez","Mayoría Relativa",NA,NA,NA,NA
"Durango","A-013","4","Durango","Dip. Jorge Herrera Delgado","Mayoría Relativa",NA,NA,NA,NA
"San Luis de la Paz","E-144","1","Guanajuato","Dip. Petra Barrera Barrera","Mayoría Relativa",NA,NA,NA,NA
"San Miguel de Allende","F-165","2","Guanajuato","Dip. Ricardo Villarreal García","Mayoría Relativa",NA,NA,NA,NA
"León","I-286","3","Guanajuato","Dip. Elizabeth Vargas Martín del Campo","Mayoría Relativa",NA,NA,NA,NA
"Guanajuato","E-145","4","Guanajuato","Dip. María Esther Garza Moreno","Mayoría Relativa",NA,NA,NA,NA
"León","G-204","5","Guanajuato","Dip. Diego Sinhué Rodríguez Vallejo","Mayoría Relativa",NA,NA,NA,NA
"León","H-263","6","Guanajuato","Dip. Rosa Elba Pérez Hernández","Mayoría Relativa",NA,NA,NA,NA
"San Francisco del Rincón","E-142","7","Guanajuato","Dip. María Guadalupe Velázquez Díaz","Mayoría Relativa",NA,NA,NA,NA
"Salamanca","H-243","8","Guanajuato","Dip. Genaro Carreño Muro","Mayoría Relativa",NA,NA,NA,NA
"Irapuato","E-143","9","Guanajuato","Dip. Alejandro Rangel Segovia","Mayoría Relativa",NA,NA,NA,NA
"Uriangato","E-139","10","Guanajuato","Dip. Raúl Gómez Ramírez","Mayoría Relativa",NA,NA,NA,NA
"Pénjamo","E-140","11","Guanajuato","Dip. Ma. Concepción Navarrete Vital","Mayoría Relativa",NA,NA,NA,NA
"Celaya","I-299","12","Guanajuato","Dip. Felipe Arturo Camarena García","Mayoría Relativa",NA,NA,NA,NA
"Valle de Santiago","J-333","13","Guanajuato","Dip. J. Jesús Oviedo Herrera","Mayoría Relativa",NA,NA,NA,NA
"Acámbaro","E-126","14","Guanajuato","Dip. José Luis Oliveros Usabiaga","Mayoría Relativa",NA,NA,NA,NA
"Ciudad Altamirano","L-453","1","Guerrero","Dip. Catalino Duarte Ortuño","Mayoría Relativa",NA,NA,NA,NA
"Iguala","H-276","2","Guerrero","Dip. Marino Miranda Salgado","Mayoría Relativa",NA,NA,NA,NA
"Zihuatanejo","A-021","3","Guerrero","Dip. Silvano Blanco Deaquino","Mayoría Relativa",NA,NA,NA,NA
"Acapulco","H-284","4","Guerrero","Dip. Victor Manuel Jorrín Lozano","Mayoría Relativa",NA,NA,NA,NA
"Tlapa","C-074","5","Guerrero","Dip. Vicario Portillo Martínez","Mayoría Relativa",NA,NA,NA,NA
"Chilapa","K-410","6","Guerrero","Dip. Carlos de Jesús Alejandro","Mayoría Relativa",NA,NA,NA,NA
"Chilpancingo de los Bravo","H-273","7","Guerrero","Dip. Jorge Salgado Parra","Mayoría Relativa",NA,NA,NA,NA
"Ayutla de los Libres","G-232","8","Guerrero","Dip. Sebastián Alfonso de la Rosa Peláez","Mayoría Relativa",NA,NA,NA,NA
"Acapulco de Juárez","K-416","9","Guerrero","Dip. María del Rosario Merlín García","Mayoría Relativa",NA,NA,NA,NA
"Huejutla de Reyes","F-178","1","Hidalgo","Dip. Darío Badillo Ramírez","Mayoría Relativa",NA,NA,NA,NA
"Ixmiquilpan","F-179","2","Hidalgo","Dip. Dulce María Muñiz Martínez","Mayoría Relativa",NA,NA,NA,NA
"Actopan","F-181","3","Hidalgo","Dip. Víctor Hugo Velasco Orozco","Mayoría Relativa",NA,NA,NA,NA
"Tulancingo de Bravo","G-220","4","Hidalgo","Dip. Emilse Miranda Munive","Mayoría Relativa",NA,NA,NA,NA
"Tula de Allende","G-219","5","Hidalgo","Dip. José Antonio Rojo García de Alba","Mayoría Relativa",NA,NA,NA,NA
"Pachuca de Soto","G-222","6","Hidalgo","Dip. Mirna Esmeralda Hernández Morales","Mayoría Relativa",NA,NA,NA,NA
"Tepeapulco","F-180","7","Hidalgo","Dip. Francisco González Vargas","Mayoría Relativa",NA,NA,NA,NA
"Tequila","M-494","1","Jalisco","Dip. Cesario Padilla Navarro","Mayoría Relativa",NA,NA,NA,NA
"Lagos de Moreno","M-472","2","Jalisco","Dip. José Noel Pérez de Alba","Mayoría Relativa",NA,NA,NA,NA
"Tepatitlán de Morelos","L-435","3","Jalisco","Dip. Cecilia González Gómez","Mayoría Relativa",NA,NA,NA,NA
"Zapopan","L-433","4","Jalisco","Dip. Salvador Arellano Guzmán","Mayoría Relativa",NA,NA,NA,NA
"Puerto Vallarta","L-431","5","Jalisco","Dip. Rafael González Reséndiz","Mayoría Relativa",NA,NA,NA,NA
"Zapopan","K-393","6","Jalisco","Dip. Abel Octavio Salgado Peña","Mayoría Relativa",NA,NA,NA,NA
"Tonalá","K-392","7","Jalisco","Dip. Sergio Armando Chávez Dávalos","Mayoría Relativa",NA,NA,NA,NA
"Guadalajara","K-394","8","Jalisco","Dip. Leobardo Alcalá Padilla","Mayoría Relativa",NA,NA,NA,NA
"Guadalajara","L-430","9","Jalisco","Dip. Ma Leticia Mendoza Curiel","Mayoría Relativa",NA,NA,NA,NA
"Zapopan","H-249","10","Jalisco","Dip. Omar Antonio Borboa Becerra","Mayoría Relativa",NA,NA,NA,NA
"Guadalajara","K-389","11","Jalisco","Dip. Claudia Delgadillo González","Mayoría Relativa",NA,NA,NA,NA
"Tlajomulco de Zúñiga","M-471","12","Jalisco","Dip. Celia Isabel Gauna Ruiz de León","Mayoría Relativa",NA,NA,NA,NA
"Guadalajara","L-436","13","Jalisco","Dip. Marco Antonio Barba Mariscal","Mayoría Relativa",NA,NA,NA,NA
"La Barca","L-434","15","Jalisco","Dip. Ossiel Omar Niaves López","Mayoría Relativa",NA,NA,NA,NA
"Tlaquepaque","L-432","16","Jalisco","Dip. Luis Armando Córdova Díaz","Mayoría Relativa",NA,NA,NA,NA
"Jocotepec","L-428","17","Jalisco","Dip. María Angélica Magaña Zepeda","Mayoría Relativa",NA,NA,NA,NA
"Autlán de Navarro","L-429","18","Jalisco","Dip. Gabriel Gómez Michel (DECESO)","Mayoría Relativa",NA,NA,NA,NA
"Ciudad Guzmán","K-390","19","Jalisco","Dip. Salvador Barajas del Toro","Mayoría Relativa",NA,NA,NA,NA
"Jilotepec de Andrés Molina Enríquez","M-493","1","México","Dip. Miguel Sámano Peralta","Mayoría Relativa",NA,NA,NA,NA
"Teoloyucan","G-228","2","México","Dip. Gerardo Francisco Liceaga Arteaga","Mayoría Relativa",NA,NA,NA,NA
"Atlacomulco de Fabela","F-185","3","México","Dip. José Rangel Espinosa","Mayoría Relativa",NA,NA,NA,NA
"Nicolás Romero","I-314","4","México","Dip. Angelina Carreño Mijares","Mayoría Relativa",NA,NA,NA,NA
"Teotihuacán de Arista","F-186","5","México","Dip. Dario Zacarías Capuchino","Mayoría Relativa",NA,NA,NA,NA
"Coacalco de Berriozábal","G-227","6","México","Dip. Roberto Ruíz Moronatti","Mayoría Relativa",NA,NA,NA,NA
"Cuautitlán Izcalli","H-269","7","México","Dip. Paulina Alejandra Del Moral Vela","Mayoría Relativa",NA,NA,NA,NA
"Tultitlán de Mariano Escobedo","G-230","8","México","Dip. Marco Antonio Calzada Arroyo","Mayoría Relativa",NA,NA,NA,NA
"Ixtlahuaca de Rayón","I-310","9","México","Dip. José Sergio Manzur Quiroga","Mayoría Relativa",NA,NA,NA,NA
"Ecatepec de Morelos","I-316","10","México","Dip. José Luis Cruz Flores Gómez (LICENCIA)","Mayoría Relativa",NA,NA,NA,NA
"Ecatepec de Morelos","F-184","11","México","Dip. Brenda María Izontli Alvarado Sánchez","Mayoría Relativa",NA,NA,NA,NA
"Ixtapaluca","M-493","12","México","Dip. César Reynaldo Navarro De Alba","Mayoría Relativa",NA,NA,NA,NA
"Ecatepec de Morelos","F-189","13","México","Dip. José Isidro Moreno Árcega","Mayoría Relativa",NA,NA,NA,NA
"Ciudad Adolfo López Mateos","G-226","14","México","Dip. Silvia Márquez Velasco","Mayoría Relativa",NA,NA,NA,NA
"Tlanepantla de Baz","G-205","15","México","Dip. Alberto Díaz Trujillo","Mayoría Relativa",NA,NA,NA,NA
"Ecatepec de Morelos","H-272","16","México","Dip. Norma Ponce Orozco (LICENCIA)","Mayoría Relativa",NA,NA,NA,NA
"Ecatepec de Morelos","D-107","17","México","Dip. Jessica Salazar Trejo","Mayoría Relativa",NA,NA,NA,NA
"Huixquilucan de Degollado","H-270","18","México","Dip. Fernando Alfredo Maldonado Hernández","Mayoría Relativa",NA,NA,NA,NA
"Tlalnepantla de Baz","F-185","19","México","Dip. Aurora Denisse Ugalde Alegría","Mayoría Relativa",NA,NA,NA,NA
"Nezahualcóyotl","A-020","20","México","Dip. Joaquina Navarrete Contreras","Mayoría Relativa",NA,NA,NA,NA
"Naucalpan de Juárez","I-315","21","México","Dip. Cristina Ruíz Sandoval","Mayoría Relativa",NA,NA,NA,NA
"Naucalpan de Juárez","F-187","22","México","Dip. Rosalba Gualito Castañeda","Mayoría Relativa",NA,NA,NA,NA
"Valle de Bravo","G-225","23","México","Dip. Blanca Estela Gómez Carmona","Mayoría Relativa",NA,NA,NA,NA
"Naucalpán de Juárez","G-224","24","México","Dip. Irazema González Martínez Olivares","Mayoría Relativa",NA,NA,NA,NA
"Chimalhuacán","L-448","25","México","Dip. Jesús Tolentino Román Bojórquez","Mayoría Relativa",NA,NA,NA,NA
"Toluca de Lerdo","H-271","26","México","Dip. Fernando Zamora Morales","Mayoría Relativa",NA,NA,NA,NA
"Metepec","I-312","27","México","Dip. Laura Barrera Fortoul","Mayoría Relativa",NA,NA,NA,NA
"Zumpango de Ocampo","J-355","28","México","Dip. Sue Ellen Bernal Bolnik","Mayoría Relativa",NA,NA,NA,NA
"Nezahualcóyolt","H-275","29","México","Dip. Valentín González Bautista","Mayoría Relativa",NA,NA,NA,NA
"Nezahualcóyotl","A-017","30","México","Dip. Alliet Mariana Bautista Bravo","Mayoría Relativa",NA,NA,NA,NA
"Nezahualcóyolt","B-046","31","México","Dip. Victor Manuel Bautista López","Mayoría Relativa",NA,NA,NA,NA
"Xico","D-106","32","México","Dip. Arturo Cruz Ramírez","Mayoría Relativa",NA,NA,NA,NA
"Chalco de Díaz Covarrubias","K-405","33","México","Dip. Juan Manuel Carbajal Hernández","Mayoría Relativa",NA,NA,NA,NA
"Toluca","I-312","34","México","Dip. Alberto Curi Naime","Mayoría Relativa",NA,NA,NA,NA
"Tenancingo de Degollado","J-358","35","México","Dip. Tanya Rellstab Carreto","Mayoría Relativa",NA,NA,NA,NA
"Tejupilco de Hidalgo","K-406","36","México","Dip. Noé Barrueta Barón","Mayoría Relativa",NA,NA,NA,NA
"Cuautitlán","G-229","37","México","Dip. Francisco Javier Fernández Clamont","Mayoría Relativa",NA,NA,NA,NA
"Los Reyes Acaquilpan","F-188","39","México","Dip. Cristina González Cruz","Mayoría Relativa",NA,NA,NA,NA
